"Evaluador","ID","mm_11","mm_12","mm_13","mm_21","mm_22","mm_23","mm_13_11","mm_23_21","intercanina_sup","mm_41","mm_42","mm_43","mm_31","mm_32","mm_33","mm_43_41","mm_33_31","intercanina_inf","Edad","Sexo","Estatura","Origen"
2,47,8.81,7.68,8.15,9.06,7.32,7.83,24.66,24.89,39.82,5.74,5.61,7.13,5.33,5.72,7.26,17.91,18.04,28.43,18,"M",1.62,"Ciudad de México"
2,48,8.88,7.01,7.73,8.59,6.86,7.77,24.51,24.72,40.49,5.54,6.12,7.18,5.65,6.34,6.71,18.78,18.78,32.2,18,"M",1.63,"Querétaro"
2,49,8.79,7.63,6.77,8.17,7.58,6.87,23.12,22.26,39.77,5.63,5.57,6.42,5.92,5.93,6.51,18.19,17.12,31.17,19,"F",1.63,"Ciudad de México"
2,50,8.99,6.31,7.72,9.21,6.42,7.77,24.29,24.91,41.83,5.49,6.08,7.19,5.76,5.72,6.87,17.84,18.66,33.54,42,"F",1.68,"Ciudad de México"
2,51,9.39,6.14,8.28,9.92,5.04,8.42,24.16,23.99,39.02,6.32,7.07,7.19,6.43,6.77,7.19,18.92,19.19,29.91,23,"F",1.56,"Ciudad de México"
2,52,7.95,6.41,7.93,8.24,6.45,7.71,22.73,22.38,39.07,5.31,5.91,7.04,5.06,5.96,6.95,17.69,17.59,30.95,21,"F",1.65,"Ciudad de México"
2,53,8.41,6.95,8.16,8.51,7.05,8.04,21.42,21.31,38.83,5.31,5.98,7.19,5.33,5.91,7.01,17.95,17.15,33.12,22,"F",1.68,"Ciudad de México"
2,54,8.13,6.46,8.2,7.97,6.24,7.84,23.17,23.29,38.94,4.97,5.79,7.12,5.09,6.09,7.08,16.36,17.05,30.53,20,"F",1.61,"Estado de México"
2,55,7.44,4.99,7.63,7.55,5.33,7.88,21.92,21.92,38.06,4.87,5.43,5.91,4.82,5.25,6.11,16.67,17.14,28.06,20,"F",1.55,"Ciudad de México"
2,56,8.21,6.11,8.24,8.55,6.25,8.43,23.65,24.17,39.55,5.64,6.03,7.06,5.45,6.03,7.17,17.43,17.77,27.01,20,"F",1.54,"Ciudad de México"
2,57,8.18,5.65,8.28,8.3,6.4,8.56,24.61,24.51,37.75,5.12,5.72,6.83,5.27,5.61,7.24,18.24,18.68,32.77,19,"M",1.89,"Ciudad de México"
2,58,7.37,6.86,7.07,7.89,6.67,7.49,21.93,22.52,21.89,5.16,5.55,6.56,5.05,5.44,6.21,17.29,16.55,30.15,20,"F",1.57,"Ciudad de México"
2,59,8.69,6.52,8.06,8.45,7.34,7.83,23.28,22.9,39.58,5.75,5.86,7.23,5.73,6.28,7.14,17.26,18.71,32.76,32,"F",1.57,"Puebla"
2,60,7.29,6.18,7.76,7.67,5.92,7.58,21.77,21.77,37.69,4.43,5.17,6.63,4.74,5.45,6.31,16.86,17.26,30.31,20,"F",1.59,"Ciudad de México"
2,61,8.86,7.59,8.48,8.62,6.81,7.81,22.63,23.91,41.86,6.31,6.45,6.89,6.52,5.96,7.13,17.48,18.15,31.19,19,"F",1.53,"Ciudad de México"
2,62,8.87,6.17,8.65,8.63,5.59,8.32,24.51,24.42,40.26,5.41,6.52,7.45,5.06,6.65,7.43,19.07,19.42,31.23,18,"F",1.69,NA
2,63,8.24,6.44,7.97,7.96,6.59,8.02,23.34,23.46,38.86,5.27,5.74,6.74,5.23,5.83,6.55,17.23,17.73,31.79,19,"F",1.61,"Ciudad de México"
2,64,7.54,5.73,7.53,7.54,5.65,7.84,21.43,21.89,37.63,5.08,5.09,5.87,4.86,5.65,6.11,16.31,16.74,28.73,19,"F",1.53,"Ciudad de México"
2,65,8.05,6.81,7.43,8.48,6.97,7.19,22.28,23.32,33.59,5.54,5.46,7.02,5.88,6.14,7.39,16.28,16.72,28.72,22,"F",1.66,"Ciudad de México"
2,66,9.05,6.98,7.95,9.06,7.17,8.04,24.87,24.47,38.48,6.05,6.39,7.32,5.47,6.44,7.03,19.64,19.23,31.34,19,"M",1.72,"Ciudad de México"
2,67,8.42,6.71,7.96,8.56,6.42,7.74,22.36,23.26,37.47,5.67,6.13,6.44,5.62,6.38,6.55,18.13,17.94,30.45,26,"F",1.62,"Estado de México"
2,68,7.97,6.57,8.11,8.24,7.03,7.87,24.37,23.74,41.45,5.57,6.37,6.72,6.05,6.49,7.99,17.96,18.61,32.29,18,"M",1.72,"Estado de México"
2,69,8.36,5.38,7.35,7.97,5.55,7.54,21.58,22.23,35.91,5.45,6.05,6.08,5.32,5.78,5.97,16.58,17.16,28.45,18,"F",1.58,"Ciudad de México"
2,70,8.66,7.02,7.63,8.62,6.63,7.38,23.69,23.19,38.91,5.36,5.35,6.41,5.42,5.72,6.65,17.91,16.88,29.75,18,"M",1.69,"Estado de México"
2,71,8.48,7.16,7.39,8.05,5.79,7.39,23.22,22.17,38.11,4.92,5.29,6.65,4.94,5.42,6.72,NA,17.45,30.49,19,"F",1.52,"Ciudad de México"
2,72,7.62,7.26,8.37,8.41,7.28,8.36,21.35,22.65,39.38,5.43,6.05,6.48,5.45,5.54,6.57,17.25,18.05,28.81,20,"F",1.51,"Ciudad de México"
2,73,7.14,6.85,8.11,NA,6.73,7.82,22.43,21.96,34.89,5.77,6.48,7.07,5.28,6.27,6.85,17.83,18.53,26.67,18,"F",1.64,"Ciudad de México"
2,74,8.58,7.08,7.52,9.05,7.17,7.24,23.88,22.84,37.32,5.57,6.63,6.15,5.86,6.24,6.66,18.61,18.17,26.48,27,"F",1.64,"Ciudad de México"
2,75,7.94,6.14,7.47,7.33,5.68,7.38,20.52,20.97,34.61,5.57,6.01,6.83,5.69,6.02,6.25,15.44,17.42,27.28,18,"F",1.5,"Ciudad de México"
2,76,9.33,7.01,7.63,8.47,6.63,7.81,23.93,21.51,38.01,5.43,6.07,6.68,5.46,5.92,6.78,17.98,16.12,27.62,56,"F",1.56,"Ciudad de México"
2,77,8.19,6.04,7.65,8.14,6.01,7.76,22.89,22.44,37.25,5.15,5.43,6.99,5.21,5.43,6.37,16.52,17.48,25.24,19,"F",1.64,"Ciudad de México"
2,78,8.31,6.45,7.31,8.38,5.89,7.12,22.77,23.04,35.64,5.23,5.71,6.61,5.15,4.48,6.31,16.45,16.97,28.89,18,"M",1.7,"Ciudad de México"
2,79,7.81,6.89,NA,8.27,6.47,7.71,NA,22.49,NA,4.96,5.99,6.61,5.04,5.62,6.84,17.03,17.46,25.62,19,"M",1.63,"Estado de México"
2,81,8.09,6.16,8.46,7.82,6.29,8.47,23.41,22.95,36.92,5.04,5.61,6.73,5.12,5.74,6.34,17.26,17.48,28.77,18,"F",1.57,"Ciudad de México"
2,84,9.23,7.37,9.17,8.76,7.29,8.87,25.54,26.08,44.52,5.96,6.31,8.11,5.66,6.46,8.14,18.18,18.77,32.13,18,"F",1.73,"Ciudad de México"
2,87,8.98,7.53,7.65,8.73,6.93,7.87,23.78,23.44,35.73,5.11,6.01,7.32,5.37,5.93,7.46,18.32,18.74,29.93,18,"M",1.75,"Ciudad de México"
2,90,7.62,6.35,7.47,7.19,5.91,7.97,19.15,19.49,30.01,5.25,5.63,6.38,4.75,6.01,6.35,15.58,15.47,26.06,18,"F",1.57,"Ciudad de México"
2,95,8.42,6.71,7.67,8.59,6.42,7.94,23.46,23.12,33.62,5.41,6.03,6.59,5.48,6.08,6.91,16.63,17.56,27.48,19,"F",1.67,"Ciudad de México"
2,96,9.11,8.06,7.97,9.06,7.27,7.71,25.09,24.03,39.98,5.89,6.44,7.51,6.12,6.48,6.93,17.99,17.91,30.27,19,"F",1.7,"Ciudad de México"
2,97,7.94,6.75,7.66,7.76,6.84,7.81,22.55,22.48,32.98,5.09,5.52,6.56,5.08,5.64,7.21,17.25,18.14,28.36,18,"F",1.57,"Ciudad de México"
2,99,8.82,6.86,7.67,7.82,6.51,7.86,21.73,23.14,35.18,6.73,6.16,7.44,5.61,4.71,7.29,17.06,16.64,27.77,19,"M",1.81,"Ciudad de México"
2,102,9.03,8.39,8.11,9.31,8.21,7.98,24.98,24.75,37.22,5.88,6.18,6.64,5.98,5.97,6.42,18.68,18.09,29.81,17,"F",1.51,"Ciudad de México"
2,105,7.98,6.13,8.28,8.07,6.06,8.18,22.98,23.11,37.02,5.06,5.78,6.85,4.92,5.72,6.63,16.95,17.32,27.77,21,"F",1.56,"Ciudad de México"
2,106,9.54,6.86,8.54,9.59,6.25,8.85,24.62,25.39,39.85,5.43,6.27,7.47,5.51,6.25,6.85,18.45,18.71,29.57,19,"F",1.61,"Querétaro"
2,107,9.35,7.32,7.57,8.78,7.28,7.25,24.39,22.99,39.83,5.81,5.89,7.34,6.05,6.12,7.54,19.84,17.79,30.91,43,"F",1.62,"Ciudad de México"
2,108,9.94,6.52,8.02,9.96,7.33,8.15,24.77,25.44,39.71,6.33,6.92,7.04,5.98,6.31,7.23,18.95,19.25,31.39,20,"F",1.67,"Ciudad de México"
2,109,7.95,6.84,7.22,7.79,6.68,7.51,20.26,21.54,33.49,5.47,6.29,6.29,5.01,6.55,6.58,16.75,17.24,25.63,54,"F",1.53,"Michoacán"
2,110,8.38,4.98,8.46,8.69,5.13,6.99,23.95,24.93,39.67,5.17,6.53,6.76,4.99,6.26,6.89,17.22,17.63,27.33,18,"M",1.71,"Estado de México"
2,111,7.95,7.65,6.98,8.18,7.35,6.84,23.09,22.27,38.64,5.65,5.41,5.04,5.49,5.59,5.57,17.99,16.96,29.21,19,"F",1.63,"Ciudad de México"
2,112,8.79,6.31,8.45,8.22,5.97,8.54,24.15,24.37,38.11,5.41,6.14,7.14,5.33,5.95,7.29,18.81,19.38,27.49,20,"M",1.66,"Ciudad de México"
2,113,9.17,7.86,7.82,8.83,7.53,8.03,24.77,24.17,39.28,5.39,5.68,6.31,5.49,5.71,6.21,18.43,17.85,30.58,47,"M",1.75,"Ciudad de México"
2,114,8.14,5.56,7.67,7.99,6.11,8.01,22.79,22.24,36.54,5.25,6.03,5.68,5.18,5.83,6.12,15.98,16.77,25.04,29,"M",1.69,"Ciudad de México"
2,116,8.36,6.29,7.23,8.18,5.88,8.17,22.45,21.69,31.71,5.12,5.68,6.02,5.06,6.04,6.54,17.34,17.27,29.32,22,"M",1.71,"Ciudad de México"
2,117,8.37,6.32,6.45,8.67,6.37,6.26,21.31,20.39,33.47,5.78,5.82,6.61,5.57,6.29,6.59,15.83,17.05,25.83,23,"F",1.59,"Estado de México"
2,118,8.28,6.98,8.03,8.18,6.66,7.91,22.25,22.47,37.35,4.62,6.46,7.15,5.92,6.44,7.27,16.89,17.81,27.11,59,"F",1.51,"Michoacán"
2,119,8.49,6.79,7.13,8.09,6.27,7.19,22.44,21.67,35.75,5.46,5.98,6.55,5.54,6.26,6.47,17.86,17.96,28.66,32,"F",1.56,"Ciudad de México"
2,120,8.46,7.19,8.08,8.48,6.98,8.06,23.48,23.15,35.51,5.37,6.36,6.79,5.75,6.31,6.91,18.35,19.22,31.16,48,"F",1.55,"Michoacán"
2,121,8.04,6.99,8.82,8.49,6.79,8.77,24.31,24.54,38.18,6.37,6.46,7.25,6.12,6.66,7.19,20.33,19.14,29.85,19,"F",1.55,"Ciudad de México"
2,122,8.72,6.77,7.33,8.72,6.09,7.28,27.37,22.75,34.15,5.28,5.61,6.24,4.88,5.66,6.23,17.27,17.45,26.07,27,"F",1.55,"Ciudad de México"
2,123,8.09,6.68,8.03,7.91,6.09,8.07,22.36,23.47,37.14,5.43,6.42,7.06,5.36,6.39,7.05,17.45,16.69,28.41,25,"M",1.74,"Ciudad de México"
2,124,7.49,6.35,8.31,7.67,6.42,8.13,21.78,22.44,34.98,5.25,5.83,6.58,5.19,5.82,6.78,16.42,16.47,26.48,19,"F",1.61,"Ciudad de México"
2,125,8.61,6.79,8.09,8.53,6.11,8.01,23.33,23.21,36.32,5.44,6.31,6.52,5.82,6.29,6.79,18.53,18.68,27.37,18,"M",1.78,"Estado de México"
2,126,8.54,5.82,7.41,8.36,5.89,7.25,21.54,21.68,34.22,5.15,6.26,6.55,5.24,5.79,6.25,16.56,17.08,24.51,19,"F",1.45,"Estado de México"
2,127,8.73,6.24,7.35,9.08,6.55,7.78,23.33,23.45,35.81,4.66,5.67,6.51,5.29,5.57,6.51,17.35,17.77,25.62,31,"F",1.61,"Estado de México"
2,128,7.94,7.38,7.96,8.62,7.02,8.03,23.01,23.91,38.44,5.62,6.18,6.97,5.88,6.23,6.72,18.87,19.01,29.81,25,"F",1.67,"Ciudad de México"
2,129,8.63,7.93,7.28,9.29,7.58,7.21,23.56,23.67,37.13,5.15,6.21,6.71,5.15,5.73,6.75,17.96,17.51,25.48,25,"F",1.58,"Estado de México"
2,130,8.58,6.11,8.01,8.12,6.69,7.83,23.05,23.26,38.69,6.26,7.06,6.22,6.58,5.93,6.57,19.61,21.67,29.52,44,"F",1.71,"Ciudad de México"
3,1,8.6,6.68,8.15,8.49,7.24,8.27,23.11,23.47,39.38,4.97,6.48,6.98,4.96,6.35,7.19,19.01,18.94,29.15,21,"F",1.6,"Ciudad de México"
3,2,8.02,5.62,7.48,7.87,5.83,7.26,23.05,23.17,35.31,4.92,5.72,6.65,5.14,5.91,6.42,15.74,16.87,25.58,21,"F",1.56,"Ciudad de México"
3,3,8.15,6.21,8.01,7.87,5.84,6.39,23.55,22.61,37.72,4.89,5.77,5.18,4.58,5.72,5.72,17.74,17.22,27.79,25,"F",1.67,"Ciudad de México"
3,4,6.98,5.67,7.28,7.68,5.38,7.13,21.34,21.07,34.38,4.81,5.46,6.16,4.61,5.23,6.35,16.63,15.84,25.7,22,"F",1.67,"Guanajuato"
3,5,8.04,6.77,8.18,7.74,6.67,8.07,23.52,23.16,39.77,5.13,5.22,6.51,5.16,5.37,6.86,17.99,17.92,29.23,21,"F",1.5,"Estado de México"
3,6,7.78,6.49,7.45,7.94,6.31,7.75,22.71,22.68,33.48,4.92,5.25,6.19,4.72,5.45,5.98,17.01,17.21,26.42,21,"F",1.68,"Ciudad de México"
3,7,7.95,6.72,7.92,7.88,6.02,7.68,22.99,22.41,37.19,5.17,5.95,6.87,5.18,5.57,6.67,16.99,16.52,26.67,22,"M",1.6,"Estado de México"
3,8,9.07,7.02,8.16,9.08,7.82,7.85,25.11,24.73,38.78,5.71,6.61,7.25,5.72,6.05,7.46,16.96,17.86,28.54,21,"M",1.76,"Ciudad de México"
3,9,9.91,7.52,9.05,9.02,7.76,8.59,24.36,24.49,40.99,5.38,6.48,7.27,5.24,6.84,7.53,18.61,19.12,31.81,21,"F",1.59,"Ciudad de México"
3,10,8.53,6.59,7.67,8.28,7.12,7.81,22.67,22.32,35.37,5.63,6.57,7.05,5.75,5.89,6.78,17.15,18.51,27.75,NA,"F",1.56,NA
3,11,7.78,7.15,7.45,8.23,7.24,7.15,23.23,23.68,39.08,5.03,6.38,6.59,5.72,5.98,6.78,17.31,17.66,28.36,21,"F",1.54,"Ciudad de México"
3,12,7.96,6.36,6.96,8.26,6.03,7.38,22.13,23.28,35.56,5.29,5.11,5.96,5.92,6.09,6.44,17.18,16.79,24.73,21,"F",1.59,"Estado de México"
3,13,7.68,6.24,7.62,7.89,7.04,7.51,21.49,21.51,32.59,5.24,5.38,6.33,5.24,5.49,6.33,15.69,15.95,25.13,21,"F",1.64,"Estado de México"
3,14,7.74,6.92,8.37,8.45,6.39,7.83,22.85,23.07,37.91,5.38,5.91,6.85,4.85,5.58,6.64,17.89,17.69,31.09,20,"F",1.5,"Estado de México"
3,15,8.87,6.78,8.21,8.97,6.73,7.88,24.93,24.95,38.44,6.03,6.44,7.5,5.86,6.37,7.14,18.65,18.35,30.76,21,"F",1.57,"Ciudad de México"
3,16,8.55,7.18,8.33,8.79,6.54,NA,22.84,NA,NA,5.48,6.05,6.65,5.47,6.03,6.11,18.58,17.77,27.87,22,"F",1.5,"Ciudad de México"
3,17,7.86,6.14,7.25,7.98,6.19,7.65,22.71,22.99,35.62,5.12,5.53,6.26,5.08,5.54,6.43,17.84,17.33,27.74,20,"F",1.42,"Ciudad de México"
3,18,8.93,6.7,7.94,9.02,6.44,7.67,23.37,23.77,38.42,5.79,5.77,7.12,5.57,5.94,7.16,18.31,17.71,30.72,21,"M",1.61,"Estado de México"
3,19,8.34,7.17,8.34,8.46,7.37,8.37,23.5,24.34,37.51,5.12,5.27,6.16,5.02,5.24,6.17,17.28,17.94,27.18,18,"F",1.53,"Ciudad de México"
3,20,7.56,5.58,7.66,7.83,6.15,7.58,22.05,21.12,37.79,5.1,5.34,6.27,5.52,5.58,6.81,16.27,16.03,27.72,18,"F",1.6,"Ciudad de México"
3,21,7.35,5.24,6.81,7.69,5.47,6.82,20.76,20.79,33.74,4.57,5.58,5.06,4.75,4.95,4.99,15.65,15.46,26.42,19,"F",1.56,"Ciudad de México"
3,22,8.24,7.28,7.29,8.25,6.83,7.09,21.59,22.07,37.74,4.84,5.31,6.04,4.99,5.63,5.39,15.24,15.46,27.46,20,"F",1.57,"Estado de México"
3,23,9.75,7.44,8.56,9.65,7.01,8.61,24.07,25.55,40.71,4.91,6.08,7.23,5.28,6.36,6.86,18.09,18.71,30.7,19,"F",1.61,"Querétaro"
3,24,8.44,6.03,7.29,8.02,6.07,7.63,21.98,21.97,36.34,5.13,6.35,6.88,5.34,5.96,6.64,17.06,16.87,28.5,19,"F",1.45,"Estado de México"
3,25,8.65,6.86,8.08,8.75,6.78,7.79,23.79,23.58,36.54,5.92,6.45,6.58,6.06,6.16,7.31,18.64,18.62,30.29,18,"M",1.78,"Estado de México"
3,26,7.54,6.41,7.15,7.86,6.51,7.99,22.61,23.22,36.44,5.35,5.73,6.64,5.14,5.84,6.69,16.43,17.04,29.05,19,"F",1.61,"Ciudad de México"
3,27,9.12,6.75,7.39,9.06,6.65,7.39,23.84,23.02,37.83,5.49,5.9,6.43,5.74,5.96,6.55,17.72,17.93,34.36,30,"F",1.57,"Ciudad de México"
3,28,8.93,5.93,8.13,9.63,5.37,8.32,24.24,24.07,36.55,6.18,7.29,7.09,6.84,7.36,7.22,18.99,19.62,29.16,23,"F",1.56,"Ciudad de México"
3,29,9.03,7.77,7.45,9.46,7.38,7.67,25.28,26.07,41.77,5.48,6.64,5.72,5.83,6.46,6.57,18.19,19.29,30.85,19,"F",1.57,"Ciudad de México"
3,30,7.74,6.21,7.88,7.61,6.11,8.13,21.81,21.24,35.84,4.71,5.18,6.59,4.77,5.52,6.31,16.47,16.27,27.81,18,"F",1.55,"Estado de México"
3,31,8.48,8.08,8.18,8.22,7.86,8.44,24.44,24.88,37.69,6.36,6.59,7.9,5.82,6.26,7.19,14.78,16.56,24.57,18,"F",1.54,"Estado de México"
3,32,8.43,4.83,8.42,8.54,5.41,8.24,23.94,24.42,39.96,5.24,6.52,7.02,4.85,6.04,6.4,17.2,17.34,27.92,18,"M",1.71,"Estado de México"
3,33,8.74,5.47,7.45,8.72,5.75,7.55,22.23,22.23,37.18,4.85,5.39,6.83,4.5,5.85,6.18,17.31,17.45,29.89,18,"M",1.61,"Ciudad de México"
3,34,8.13,6.67,7.76,8.94,6.14,6.98,23.16,23.57,37.12,4.77,5.05,6.43,5.43,5.46,5.84,17.24,17.45,27.98,18,"M",1.55,"Ciudad de México"
3,35,8.38,7.53,7.67,8.97,7.33,7.36,24.04,23.52,37.18,5.95,6.27,7.16,5.37,6.45,6.96,17.32,17.76,29.06,18,"F",1.61,"Ciudad de México"
3,36,9.94,6.55,8.16,9.42,6.97,7.99,25.42,25.86,38.64,6.18,6.36,7.03,5.72,6.67,7.18,18.79,18.61,31.21,20,"F",1.67,"Ciudad de México"
3,37,7.86,7.14,7.05,8.06,6.62,6.97,22.92,22.94,35.06,5.02,5.36,5.4,4.92,5.52,6.13,16.53,16.72,26.66,19,"F",1.62,"Ciudad de México"
3,38,7.74,6.78,7.88,7.84,6.11,7.9,23.53,23.69,37.68,5.19,5.83,6.47,4.6,6.07,6.75,17.96,18.14,27.71,21,"F",1.56,"Ciudad de México"
3,39,8.37,7.24,8.97,8.42,7.07,9.06,24.92,25.04,39.32,6.37,6.12,7.24,6.19,6.71,7.19,20.3,19.18,31.21,19,"F",1.55,"Ciudad de México"
3,40,8.39,6.14,8.55,8.85,6.14,8.09,23.51,24.19,36.96,5.39,5.91,6.79,5.4,6.05,6.98,15.89,17.37,26.51,23,"F",1.51,"Estado de México"
3,41,8.81,7.94,8.33,8.79,7.71,8.22,25.27,25.62,41.75,5.44,6.01,7.07,5.94,6.15,6.91,18.73,18.74,33.04,18,"F",1.5,"Ciudad de México"
3,42,7.82,5.64,8.04,8.17,6.24,7.66,22.92,22.71,36.41,5.33,5.79,7.17,5.46,5.76,7.06,18.74,17.98,28.73,19,"M",1.9,"Ciudad de México"
3,43,9.28,7.08,8.56,9.37,7.58,9.01,24.76,22.81,36.52,6.17,6.16,6.41,7.55,6.72,7.35,18.02,18.17,29.51,18,"F",1.7,"Estado de México"
3,44,8.42,7.53,8.03,8.33,7.38,8.27,25.07,25.37,39.35,5.71,NA,6.72,5.18,6.51,7.02,NA,19.51,25.83,18,"F",1.51,"Ciudad de México"
3,45,8.32,5.92,8.32,8.16,6.27,8.23,23.21,23.46,37.36,4.71,5.73,6.95,5.12,5.29,6.22,16.91,17.38,29.17,18,"F",1.58,"Ciudad de México"
3,46,8.48,7.28,8.46,8.58,7.58,7.84,24.93,24.35,40.69,5.12,5.97,6.72,5.24,6.08,6.62,17.74,17.93,30.16,19,"F",1.6,"Ciudad de México"
3,47,8.87,7.52,8.16,8.79,7.28,7.78,24.45,24.91,38.82,5.7,5.67,6.92,5.28,5.73,7.27,18.02,18.73,27.21,18,"M",1.62,"Ciudad de México"
3,48,9.02,6.85,7.97,8.93,7.05,8.01,24.94,25.11,39.84,5.62,6.31,7.06,5.44,6.06,6.69,19.26,19.33,31.53,18,"M",1.63,"Querétaro"
3,49,9.03,7.83,7.04,8.3,7.83,7.15,23.56,22.66,38.22,5.72,5.23,6.71,5.9,6.11,6.75,18.14,16.53,29.85,19,"F",1.63,"Ciudad de México"
3,50,9.27,6.42,8.04,9.43,6.67,7.95,24.83,25.16,40.21,5.33,5.84,7.24,5.74,6.58,7.43,18.14,19.05,31.89,42,"F",1.68,"Ciudad de México"
3,51,8.97,5.23,8.27,9.65,4.58,8.23,24.06,23.93,36.6,6.41,7.27,7.2,6.27,6.6,7.02,19.12,19.75,29.33,23,"F",1.56,"Ciudad de México"
3,52,7.86,6.98,8.05,8.12,6.21,7.45,23.01,22.48,37.15,5.02,5.95,6.97,5.18,6.03,6.89,17.52,17.62,28.75,21,"F",1.65,"Ciudad de México"
3,53,8.35,7.09,8.17,8.55,7.19,7.95,21.74,21.84,35.35,5.15,5.82,7.15,5.11,5.92,7.03,18.78,17.26,29.37,22,"F",1.68,"Ciudad de México"
3,54,8.11,6.56,6.85,7.57,6.12,7.73,23.65,23.05,36.73,4.87,5.86,7.04,5.14,6.12,7.07,16.58,16.74,29.03,20,"F",1.61,"Estado de México"
3,55,7.49,5.12,7.51,7.62,5.22,7.73,21.94,22.15,35.51,5,5.35,5.82,5.02,5.27,5.65,16.8,17.4,27.98,20,"F",1.55,"Ciudad de México"
3,56,8.22,6.14,8.24,8.67,5.83,8.14,24.01,24.58,37.47,5.56,5.99,6.64,5.38,5.95,7.19,17.85,17.83,27.27,20,"F",1.54,"Ciudad de México"
3,57,8.04,5.27,8.28,8.28,6.87,8.55,24.96,25.05,40.43,5.08,5.7,6.73,5.22,5.14,6.67,17.99,18.11,29.68,19,"M",1.89,"Ciudad de México"
3,58,8.13,6.97,7.04,8,6.92,7.25,22.27,22.52,35.81,5.03,5.66,5.99,5.05,5.44,5.86,16.87,17.16,28.44,20,"F",1.57,"Ciudad de México"
3,59,8.67,6.73,8.2,8.33,7.46,7.71,23.17,23.68,37.41,5.82,6.05,6.95,5.77,6.39,7.13,17.79,17.65,28.5,32,"F",1.57,"Puebla"
3,60,7.65,6.06,7.78,8.17,6.26,7.82,22.39,22.42,36.14,4.36,5.12,6.24,4.66,5.61,5.83,17.52,17.68,27.71,20,"F",1.59,"Ciudad de México"
3,61,8.85,7.56,8.69,8.89,7.27,8.26,23.51,24.55,40.36,6.37,6.83,6.29,6.58,5.87,7.24,18.08,18.01,28.23,19,"F",1.53,"Ciudad de México"
3,62,9.25,7.12,8.51,8.98,6.27,8.54,24.92,24.74,38.27,5.57,6.21,7.01,5.03,6.27,7.29,19.34,19.63,29.37,18,"F",1.69,NA
3,63,8.44,6.74,7.51,8.19,6.57,8.11,23.77,23.66,38.37,5.45,5.76,6.71,5.24,5.75,5.54,17.28,17.98,30.69,19,"F",1.61,"Ciudad de México"
3,64,7.27,5.85,7.37,7.38,6.03,7.44,21.49,21.71,36.24,5.13,4.91,5.92,4.83,5.57,5.97,17.15,17.28,26.27,19,"F",1.53,"Ciudad de México"
3,65,7.85,6.44,7.31,8.22,7.03,7.01,22.97,23.5,37.12,5.57,5.25,7.06,5.92,6.18,5.98,16.37,17.27,29.33,22,"F",1.66,"Ciudad de México"
3,66,8.98,7.26,7.81,8.85,7.27,7.85,24.77,24.21,38.06,6.02,6.42,7.31,5.49,6.47,6.52,19.98,19.6,30.13,19,"M",1.72,"Ciudad de México"
3,67,8.34,6.41,7.94,8.56,6.64,7.98,22.46,22.79,35.96,5.72,6.16,5.67,5.44,6.44,6.26,18.13,17.66,28.26,26,"F",1.62,"Estado de México"
3,68,8.74,6.98,8.03,8.32,7.36,8.03,24.76,24.55,40.67,5.64,6.5,7.29,6.08,6.55,7.98,17.96,18.69,31.67,18,"M",1.72,"Estado de México"
3,69,7.88,5.32,7.06,8.29,5.49,7.46,21.93,22.35,35.64,5.45,6.02,6.06,5.41,5.24,5.44,17.11,17.17,26.82,18,"F",1.58,"Ciudad de México"
3,70,8.83,6.58,7.69,8.63,6.56,7.24,23.94,23.63,38.38,5.46,5.41,6.26,5.44,5.85,6.65,18.04,17.47,27.96,18,"M",1.69,"Estado de México"
3,71,8.39,6.71,7.34,7.67,6.07,7.51,23.61,22.75,37.6,4.89,5.69,6.81,4.94,5.47,6.89,17.56,17.13,29.05,19,"F",1.52,"Ciudad de México"
3,72,9.14,7.83,8.27,8.86,7.75,8.34,22.19,22.96,38.81,5.47,6.04,6.6,5.26,4.84,6.55,17.15,17.95,30.16,20,"F",1.51,"Ciudad de México"
3,73,8.21,6.9,8.09,7.52,6.89,7.71,22.55,21.97,36.17,5.28,6.21,6.91,5.39,6.23,6.98,17.21,18.18,28.7,18,"F",1.64,"Ciudad de México"
3,74,9.06,6.8,7.39,8.99,6.91,7.08,24.21,23.67,36.61,5.74,6.54,6.26,5.73,6.27,6.75,18.93,17.94,28.91,27,"F",1.64,"Ciudad de México"
3,75,7.81,6.28,7.39,7.66,5.56,7.39,20.77,21.18,33.72,5.54,6.08,6.64,5.68,6.07,6.44,15.74,17.64,27.52,18,"F",1.5,"Ciudad de México"
3,76,9.29,6.93,7.56,8.57,6.75,7.76,23.93,21.97,37.07,5.43,5.91,6.13,5.57,6.11,6.67,17.33,17.59,30.4,56,"F",1.56,"Ciudad de México"
3,77,8.27,6.11,7.66,8.13,6.02,7.91,23.27,23.17,36.74,5.19,5.65,6.11,5.11,5.42,6.18,16.66,17.43,25.27,19,"F",1.64,"Ciudad de México"
3,78,8.52,5.92,7.22,8.54,5.79,7.42,23.04,23.22,36.51,5.28,5.62,6.55,5.18,4.32,6.16,16.78,17.17,28.23,18,"M",1.7,"Ciudad de México"
3,79,8.08,6.82,NA,8.06,6.54,7.64,NA,23.12,NA,4.98,6.05,6.45,5.27,5.98,6.63,16.83,17.58,26.82,19,"M",1.63,"Estado de México"
3,81,8.28,6.32,6.82,8.05,6.87,7.74,23.56,23.29,23.39,4.94,6.08,6.44,5.24,5.63,6.34,17.72,17.61,29.05,18,"F",1.57,"Ciudad de México"
